Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",226031,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",196283,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,162134,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,145477,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",129036,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,rockstar,"Post Malone",118876,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
7,Wolves,"Selena Gomez",114284,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,"New Rules","Dua Lipa",107460,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
9,Vervloekt,Frenna,107359,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
10,"Perfect Duet","Ed Sheeran",98771,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
11,"In Amsterdam","Sevn Alias",98659,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
12,Cono,Puri,94897,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
13,"I Miss You","Clean Bandit",94277,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
14,"Let You Down",NF,93209,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
15,Perfect,"Ed Sheeran",90664,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
16,Stargazing,Kygo,90170,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
17,Silence,Marshmello,89366,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
18,"What Lovers Do","Maroon 5",89000,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
19,"Him & I",G-Eazy,88180,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
20,"So Far Away","Martin Garrix",86436,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
21,Patsergedrag,"Sevn Alias",86396,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
22,"Op Me Monnie",Frenna,85911,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
23,Anywhere,"Rita Ora",85374,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
24,"Too Good At Goodbyes","Sam Smith",85259,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
25,"Shape of You","Ed Sheeran",81478,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
26,Merry,"Nafthaly Ramona",77834,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
27,"Dusk Till Dawn",ZAYN,77175,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
28,"All Falls Down","Alan Walker",76115,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
29,"Reggaeton Lento",CNCO,72101,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF
30,"What About Us",P!nk,70000,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
