song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;KarimaSahla;2018-01-02 22:00;0;1;"None";@TurkseTulp ; ;948312952100319232;@TurkseTulp Handen af van Ronnie Flex en Lil Kleine! 🤣🤣🤣🤣
Blijf Bij Mij;Ronnie Flex;RachelWoodhall;2018-01-02 17:04;28;0;"None";@ricodb ; ;948238653368741889;RT @ricodb: In nieuwste track Ronnie Flex smst Maan via Excel. Net als Kelly Rowland dat deed in track van Nelly. Goed gevonden! https://t.…
Blijf Bij Mij;Ronnie Flex;OnePeaceChamp;2018-01-02 16:40;0;0;"None";@YouTube ; ;948232566674546688;Ik vind een @YouTube-video leuk: https://t.co/36ZrA9xY53 Ronnie Flex - 4/5 (prod. Trobi)
Blijf Bij Mij;Ronnie Flex;_Cappugino_;2018-01-02 13:26;0;0;"None";@YouTube ; ;948183714776875008;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/GvSu0dXWxI Ronnie Flex - 4/5 (prod. Trobi)
Blijf Bij Mij;Ronnie Flex;Denieess_x;2018-01-02 11:05;0;3;"None";; ;948148249269022721;Dan ga ik dit er ook even uitgooien. Dat ronnie flex en famke niet het zelfde level hebben, is logisch. Dan verdien… https://t.co/WCb8nSb7by
4/5;Ronnie Flex;KarimaSahla;2018-01-02 22:00;0;1;"None";@TurkseTulp ; ;948312952100319232;@TurkseTulp Handen af van Ronnie Flex en Lil Kleine! 🤣🤣🤣🤣
4/5;Ronnie Flex;RachelWoodhall;2018-01-02 17:04;28;0;"None";@ricodb ; ;948238653368741889;RT @ricodb: In nieuwste track Ronnie Flex smst Maan via Excel. Net als Kelly Rowland dat deed in track van Nelly. Goed gevonden! https://t.…
4/5;Ronnie Flex;OnePeaceChamp;2018-01-02 16:40;0;0;"None";@YouTube ; ;948232566674546688;Ik vind een @YouTube-video leuk: https://t.co/36ZrA9xY53 Ronnie Flex - 4/5 (prod. Trobi)
4/5;Ronnie Flex;_Cappugino_;2018-01-02 13:26;0;0;"None";@YouTube ; ;948183714776875008;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/GvSu0dXWxI Ronnie Flex - 4/5 (prod. Trobi)
4/5;Ronnie Flex;Denieess_x;2018-01-02 11:05;0;3;"None";; ;948148249269022721;Dan ga ik dit er ook even uitgooien. Dat ronnie flex en famke niet het zelfde level hebben, is logisch. Dan verdien… https://t.co/WCb8nSb7by
Officieel;Broederliefde;Goudse40;2018-01-02 20:47;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;948294821936095232;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/PMCwnm5EgN
Officieel;Broederliefde;festivalnieuws;2018-01-02 17:27;0;0;"None";; ;948244454909071360;Vorig jaar stonden onder meer De Staat, Broederliefde, Milow, Golden Earring, Flogging Molly en… https://t.co/NHAN9u5qAv
River;Eminem;Ruya_eng;2018-01-02 22:51;0;7;"None";; ;948325859898912768;#np Love the way you lie - Eminem
River;Eminem;yassinemens53;2018-01-02 22:28;0;0;"None";@YouTube ; ;948320085130792962;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/aqKSVAz0Gs Eminem - Lose Yourself [HD]
River;Eminem;dotheBurkeMan;2018-01-02 17:50;0;0;"None";@RKain @decorrespondent ; ;948250154003582978;@RKain @decorrespondent (2) De Rap wereld is (I) mannelijk en (II) zwart maar Eminem kon wel doorbreken. Lenny Krav… https://t.co/a7E8IjWUgl
River;Eminem;KeesD92;2018-01-02 16:04;0;1;"None";@Inge_Happe ; ;948223581040922624;@Inge_Happe Dan is het goed. misschien Googlen op Lyrics. Doe ik ook altijd bij Eminem
River;Eminem;yourshivaa;2018-01-02 15:55;0;0;"None";; ;948221135832997888;Desculpem, podem dar hate mas para mim o melhor trabalho do Eminem foi sem dúvida a Guts Over Fear
River;Eminem;MemesRTs_Down;2018-01-02 13:15;1;0;"None";@SHOOK24265474 ; ;948180889665789953;RT @SHOOK24265474: REAL SLIM SHADY😂 #eminem #meme #memes #woah https://t.co/aAhXRiS8wp
River;Eminem;SHOOK24265474;2018-01-02 13:14;1;1;"None";; ;948180766068002817;REAL SLIM SHADY😂 #eminem #meme #memes #woah https://t.co/aAhXRiS8wp
River;Eminem;revolvermac1;2018-01-02 12:45;0;1;"None";@yungalvara ; ;948173518293872640;@yungalvara Eminem, hopsin, tech n9ne, immortal technique en Eminem
River;Eminem;hits4uradio;2018-01-02 10:38;0;0;"None";; ;948141485534400512;This song is playing: Eminem - River (feat. Ed Sheeran) Listen: https://t.co/Yu55BIA5JO
River;Eminem;Dwayniee014;2018-01-02 09:36;0;0;"None";; ;948125777781964800;River ❌ Eminem ft. Ed Sheeran
River;Eminem;remke0808;2018-01-02 06:08;0;0;"None";; ;948073598585098247;Maar Eminem op mijn oren maakt veel goed... #nieuwalbum #Revival
Havana;Camila Cabello;hits4uradio;2018-01-02 21:17;0;0;"None";; ;948302299079815168;This song is playing: Camila Cabello - Crying in the Club Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;LisaVellinga_;2018-01-02 19:05;0;0;"None";@BBCR1 @Camila_Cabello ; ;948269122374205441;@BBCR1 Camila Cabello 😍😍 @Camila_Cabello
Havana;Camila Cabello;kccelipa;2018-01-02 18:35;0;0;"None";@kccsalut ; ;948261575751815175;@kccsalut kcce - karla camila cabello estrabao lipa - dua lipa  ???? era tão dificil assim
Havana;Camila Cabello;hits4uradio;2018-01-02 17:02;0;0;"None";; ;948237987141308416;This song is playing: Camila Cabello - Never Be the Same Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;deepplaylist;2018-01-02 16:26;0;0;"None";; ;948229143585611778;Nu on air: Major Lazer ft Travis Scott, Camila Cabello &amp; Quavo - Know No Better https://t.co/shpWE32VKS
Havana;Camila Cabello;karIasjennie;2018-01-02 15:25;0;2;"None";; ;948213558134878216;karla camila cabello estrabao  • march 3rd, 1997 • singer • cojímar, cuba https://t.co/GoNjMlSAtB
Havana;Camila Cabello;hits4uradio;2018-01-02 12:46;0;0;"None";; ;948173654105427968;This song is playing: Camila Cabello - Havana (feat. Young Thug) Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-02 06:23;0;0;"None";; ;948077150929858560;This song is playing: Camila Cabello - Crying in the Club Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-02 00:35;0;0;"None";; ;947989691630014464;This song is playing: Camila Cabello - Never Be the Same Listen: https://t.co/Yu55BIA5JO
