Position,Track Name,Artist,Streams
1,New Rules,Dua Lipa,37
2,Perfect,Ed Sheeran,24
3,Perfect Duet,Ed Sheeran,24
4,Havana,Camila Cabello,21
5,JA!,Bizzey,17
6,Nikes,Jacin Trill,14
7,River,Eminem,13
8,What Lovers Do,Maroon 5,12
9,Skittle Stacking,Josylvio,11
10,Finesse,Bruno Mars,8
11,Anywhere,Rita Ora,7
12,Wolves,Selena Gomez,6
13,Officieel,Broederliefde,5
14,Blijf Bij Mij,Ronnie Flex,5
15,So Far Away,Martin Garrix,5
16,4/5,Ronnie Flex,5
17,Zoutelande,BLOF,3
18,Stargazing,Kygo,3
19,Silence,Marshmello,3
20,I Miss You,Clean Bandit,2
21,Echame La Culpa,Luis Fonsi,2
22,rockstar,Post Malone,1
23,Too Good At Goodbyes,Sam Smith,1
24,Vervloekt,Frenna,1
