Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,521
2,Perfect,Ed Sheeran,306
3,JA!,Bizzey,88
4,Officieel,Broederliefde,59
5,River,Eminem,34
6,I Miss You,Clean Bandit,16
7,Anywhere,Rita Ora,13
8,Merry,Nafthaly Ramona,11
9,New Rules,Dua Lipa,8
10,Wolves,Selena Gomez,8
11,Skittle Stacking,Josylvio,6
12,Havana,Camila Cabello,6
13,Finesse,Bruno Mars,6
14,Zoutelande,BLOF,5
15,So Far Away,Martin Garrix,5
16,4/5,Ronnie Flex,5
17,rockstar,Post Malone,4
18,Homesick,Dua Lipa,4
19,Never Be the Same,Camila Cabello,4
20,Too Good At Goodbyes,Sam Smith,3
21,Nikes,Jacin Trill,3
22,Blijf Bij Mij,Ronnie Flex,3
23,Patsergedrag,Sevn Alias,2
24,Cono,Puri,2
25,All Falls Down,Alan Walker,1
26,Vervloekt,Frenna,1
27,What Lovers Do,Maroon 5,1
