#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,10,1,9,9.500000
2,4/5,Ronnie Flex,2,1,2,9,5.000000
3,Officieel,Broederliefde,0,0,3,18,0.000000
4,River,Eminem,0,0,4,2,0.000000
5,Havana,Camila Cabello,5,3,5,9,6.000000
6,rockstar,Post Malone,6,6,6,15,10.500000
7,Wolves,Selena Gomez,7,5,7,8,6.500000
8,New Rules,Dua Lipa,8,13,8,20,16.500000
9,Vervloekt,Frenna,24,17,9,20,18.500000
10,Perfect Duet,Ed Sheeran,24,17,10,3,10.000000
11,In Amsterdam,Sevn Alias,0,0,11,20,0.000000
12,What Lovers Do,Maroon 5,10,8,12,15,11.500000
13,Cono,Puri,24,17,13,29,23.000000
14,I Miss You (feat. Julia Michaels),Clean Bandit,24,17,14,9,13.000000
15,Perfect,Ed Sheeran,0,0,15,3,0.000000
16,Stargazing,Kygo,12,10,16,13,11.500000
17,Let You Down,NF,24,17,17,20,18.500000
18,Him & I,G-Eazy,24,17,18,27,22.000000
19,Silence,Marshmello,0,0,19,13,0.000000
20,Too Good At Goodbyes,Sam Smith,14,13,20,7,10.000000
21,So Far Away,Martin Garrix,15,2,21,6,4.000000
22,Patsergedrag,Sevn Alias,16,4,22,20,12.000000
23,Op Me Monnie,Frenna,17,13,23,20,16.500000
24,Anywhere,Rita Ora,0,0,24,18,0.000000
25,Merry,Nafthaly Ramona,0,0,25,29,0.000000
26,Shape of You,Ed Sheeran,20,6,26,3,4.500000
27,Dusk Till Dawn,ZAYN,21,10,27,1,5.500000
28,Feel It Still,Portugal. The Man,24,17,28,27,22.000000
29,All Falls Down,Alan Walker,22,8,29,15,11.500000
30,Reggaeton Lento,CNCO,23,13,30,20,16.500000
